Situação,Quantidade,Percentual,País,...5,...6
Alfabetizados,151547694,93,Brasil,NA,NA
Alfabetizados,337340000,99,Estados Unidos,NA,NA
Alfabetizados,124200000,99,Japão,NA,NA
Alfabetizados,277330000,96,Indonésia,NA,NA
Alfabetizados,10310000,96.78,Portugal,NA,NA
Alfabetizados,45810000,97,Argentina,NA,NA
Alfabetizados,3426000,98.7,Uruguai,NA,NA
Alfabetizados,1417000000,77,Índia,NA,NA
Alfabetizados,60600000,90,África do Sul,NA,NA
